Component            Module                sub_Module               DataFile
TE                   tlm                   sterodynamics            ocean.tlm.sterodynamics_localsl.nc
Glaciers             ipccar5               glaciers                 ar5glaciers.ipccar5.glaciers_localsl.nc
Glaciers             emulandice            glaciers                 emuglaciers.emulandice.glaciers_localsl.nc             
GrIS                 bamber19              icesheets                bamber19.bamber19.icesheets_GIS_localsl.nc
GrIS                 FittedISMIP           GrIS                     GrIS1f.FittedISMIP.GrIS_GIS_localsl.nc
GrIS                 emulandice            GrIS                     emuGrIS.emulandice.GrIS_localsl.nc                  
AIS                  bamber19              icesheets                bamber19.bamber19.icesheets_AIS_localsl.nc
AIS                  deconto21             AIS                      deconto21.deconto21.AIS_AIS_localsl.nc
AIS                  emulandice            AIS                      emuAIS.emulandice.AIS_localsl.nc
AIS                  larmip                AIS                      larmip.larmip.AIS_localsl.nc
EAIS                 ipccar5               icesheets                ar5AIS.ipccar5.icesheets_EAIS_localsl.nc
EAIS                 bamber19              icesheets                bamber19.bamber19.icesheets_EAIS_localsl.nc
EAIS                 deconto21             AIS                      deconto21.deconto21.AIS_EAIS_localsl.nc
EAIS                 emulandice            AIS                      emuAIS.emulandice.AIS_EAIS_localsl.nc
EAIS                 larmip                AIS                      larmip.larmip.AIS_EAIS_localsl.nc
WAIS                 ipccar5               icesheets                ar5AIS.ipccar5.icesheets_WAIS_localsl.nc
WAIS                 bamber19              icesheets                bamber19.bamber19.icesheets_WAIS_localsl.nc
WAIS                 deconto21             AIS                      deconto21.deconto21.AIS_WAIS_localsl.nc
WAIS                 emulandice            AIS                      emuAIS.emulandice.AIS_WAIS_localsl.nc
WAIS                 larmip                AIS                      larmip.larmip.AIS_WAIS_localsl.nc
LWS                  ssp                   landwaterstorage         lws.ssp.landwaterstorage_localsl.nc
VLM                  kopp14                verticallandmotion       k14vlm.kopp14.verticallandmotion_localsl.nc
